order_item_id,order_id,product_id,quantity,price
1,3059,37,3,64.5465303536892
2,1795,97,2,58.111744299844155
3,1747,58,4,86.97971066773951
4,1821,58,3,45.051645720760064
5,4526,83,3,66.54490033461607
6,1227,12,1,16.815701165447145
7,3438,91,1,55.39025162926299
8,883,35,2,65.64605992259519
9,797,88,3,71.13978259241472
10,1723,36,2,56.70534088090049
11,1129,74,3,89.91203850382098
12,1845,84,3,91.93451840631484
13,2511,72,2,60.47341022350439
14,2204,40,1,90.03072913574175
15,2833,19,1,99.3265437828821
16,522,74,1,13.075203521672275
17,2468,82,2,21.57193030770275
18,2026,26,2,25.212509061857347
19,2997,56,4,82.3849497512964
20,2364,57,4,72.50812306467365
21,4336,26,4,68.81996009177493
22,2210,85,3,45.60664511669603
23,1768,62,3,42.45287714949745
24,2889,96,3,76.8806423246698
25,3596,12,1,50.64408619736495
26,2624,99,4,60.85751144365089
27,494,41,3,56.53807644754865
28,4208,56,4,60.84403948478394
29,4163,20,4,56.89116389759043
30,3358,25,3,25.023310962613017
31,2048,53,3,79.74895003866564
32,172,4,2,35.52027703024034
33,3327,49,1,72.83319245605647
34,2191,15,2,50.60054141087566
35,796,25,4,11.813965907569015
36,2101,88,1,59.09573609605613
37,1900,84,2,31.432776235062455
38,4990,59,4,40.91748313729273
39,1277,43,2,83.92955819683728
40,2155,7,2,20.054273889603586
41,3746,81,4,67.31733648749821
42,2275,54,1,75.661544122138
43,1592,50,1,79.21439336691377
44,4013,57,2,46.45725015586393
45,4119,43,2,18.701989908718502
46,3140,18,3,66.41725754815133
47,1351,93,3,43.698450864473955
48,3704,60,3,60.874663244510835
49,3101,39,3,84.43895293116064
50,1218,45,3,56.741780694228936
51,770,40,2,41.82345329937574
52,2464,94,1,61.33511914986109
53,484,15,4,31.641491772981954
54,2699,31,3,21.482092041374266
55,3736,52,4,78.96786938320902
56,3808,54,1,61.59441703139892
57,3790,29,4,95.37599420620307
58,615,91,2,49.92820352574587
59,4924,80,1,23.869278669819032
60,4541,94,4,86.60727409032421
61,1675,62,1,74.24072941443362
62,4797,31,1,57.01290352708454
63,2195,84,4,52.648841211637425
64,2688,45,2,42.02598606126319
65,3902,52,3,26.653500719976485
66,76,63,3,66.39265362242007
67,258,71,4,79.827438032463
68,2976,38,2,73.04099682214061
69,1173,9,3,96.28209711628945
70,4394,50,2,56.37973158711042
71,2659,48,3,57.7633341155061
72,2874,44,4,92.9841059023316
73,202,34,1,30.283004348698096
74,3469,57,4,54.10498480757462
75,1327,99,4,89.05816887592556
76,3835,34,2,38.34619171888994
77,2486,31,3,42.78911139868378
78,266,15,1,88.84997099794765
79,1716,16,1,54.821821394561304
80,1497,66,4,31.08682873909445
81,1549,75,1,66.88766750398412
82,2449,48,3,25.422140556603807
83,1663,53,4,56.13373283128966
84,1994,71,2,50.4927441359009
85,313,86,2,35.33765394960629
86,866,21,2,34.26324359676154
87,426,58,4,29.86814181844941
88,2317,80,3,87.71687345391126
89,1663,2,2,93.76485101907784
90,4481,9,3,18.369729691115072
91,489,52,3,79.52163979303985
92,2872,38,2,19.651787613585856
93,1532,39,4,12.330621730391258
94,4279,32,1,55.02902584221478
95,4022,13,1,31.985526060878293
96,4363,31,1,59.17733991905769
97,2097,77,1,19.469169399701038
98,1087,74,3,38.23312388923299
99,690,68,2,20.634763230495444
100,458,83,3,90.25931049656117
101,1827,27,1,29.02017788345776
102,3059,55,1,25.422114553477417
103,3107,81,3,92.36796495791607
104,748,59,2,49.766137495413275
105,291,24,2,91.36799734371765
106,964,95,3,84.96102663139413
107,3312,27,2,32.14386665487737
108,1503,91,1,89.49245505002423
109,4706,68,2,90.6066264402445
110,1654,15,1,88.01188271249558
111,427,68,2,75.13882539724938
112,3163,35,3,53.12075930778531
113,268,56,1,37.70770990272369
114,526,2,4,35.73768209133504
115,844,65,3,41.59054258694738
116,4254,73,4,24.120736776029112
117,4503,42,2,84.59506060275451
118,1259,70,4,66.0273754703165
119,2922,89,3,92.31836879329705
120,2156,21,2,44.465227449009404
121,1072,87,3,12.599696569526989
122,3357,72,1,20.24732780708619
123,4342,89,3,83.29257612681026
124,2275,90,2,84.35403877323958
125,1316,11,4,14.868576447906655
126,4083,68,3,14.82825714794645
127,140,69,3,83.17366305257711
128,3480,75,4,12.292517262382773
129,2836,21,1,31.094624703393865
130,1033,23,1,19.150715612890266
131,4128,42,3,35.71892687882804
132,3261,70,4,23.50599470017821
133,1036,38,1,53.97044398070983
134,800,10,3,80.12822662356862
135,552,4,3,45.57537014823121
136,977,94,1,18.945543042117023
137,1098,40,2,28.09043255774216
138,1520,22,3,94.17298032450567
139,3457,100,1,22.97188667837049
140,1309,70,2,13.3629471241019
141,325,94,1,49.402740164405785
142,4573,4,1,18.67663150364492
143,991,77,1,52.685532470509735
144,4633,85,1,52.105102653140904
145,1883,4,3,47.20142814320681
146,1091,51,3,27.48488774969221
147,2975,80,1,53.27128186272493
148,1681,54,3,39.449946176580106
149,659,80,3,36.82987437857629
150,2659,56,1,65.2424331168884
151,4800,16,1,90.93832017167833
152,567,4,3,79.58949556369976
153,262,50,3,96.35298056476181
154,711,29,3,36.77058281149539
155,2099,66,1,10.694477014090628
156,805,88,1,29.757169438323526
157,4783,46,2,74.87210298217475
158,3537,90,2,27.641093230513672
159,593,34,1,55.80691970155732
160,4603,33,3,53.93747274357951
161,3655,89,4,11.859032987079935
162,2220,8,4,73.80913452981378
163,184,57,2,41.439394348963944
164,684,85,3,61.739856619474345
165,3140,88,1,97.67744187978569
166,4939,12,3,55.08646989725454
167,4300,46,4,29.76286046364705
168,874,94,1,31.05443762643758
169,4602,75,3,91.4733372691088
170,2919,93,4,65.3868692306441
171,2644,30,1,41.950251514058124
172,4996,26,1,76.76518708916629
173,1101,84,3,16.54884261666745
174,1211,91,2,92.74969727336955
175,547,84,1,50.36131823798228
176,1297,100,1,29.59382697729084
177,3923,57,4,35.785470467754905
178,3519,32,2,28.506661929461057
179,775,76,2,26.237163584439543
180,871,78,2,93.05197486266657
181,66,77,3,31.462290330125025
182,2748,24,2,79.34232914835037
183,1157,75,4,67.19071992765768
184,306,77,2,19.906440981913306
185,540,39,3,58.01691953049617
186,278,63,1,79.16492752947039
187,1932,67,3,87.73577493680303
188,1113,80,2,65.17789044855124
189,1962,22,2,73.11091922468263
190,540,70,1,60.967445878275626
191,3931,71,2,16.842989050565578
192,890,86,2,20.20999385528942
193,2949,97,2,35.832662936270474
194,2173,77,1,30.924771173373845
195,633,5,3,79.50033215960545
196,2577,53,1,85.21726244212768
197,3220,73,2,33.18904028785292
198,3,74,3,21.04123352243337
199,2650,94,4,94.25232371248906
200,3581,55,4,99.27910562481358
201,1685,61,1,79.09273760438973
202,4297,33,4,56.436314183288104
203,1049,59,1,40.513595529964604
204,2389,93,4,57.75557741244118
205,839,38,3,81.46726968255633
206,1192,100,4,46.822354591023824
207,2953,16,3,87.78917082584798
208,3867,3,3,93.48103435344626
209,1784,95,2,57.38574824142196
210,1495,21,1,48.43333578453863
211,1711,22,2,59.58309836457856
212,2114,19,1,79.97500021422448
213,3186,27,4,35.75484289444911
214,2307,17,3,75.75284569011441
215,2821,87,1,26.087577905476618
216,2296,56,2,97.60235641138077
217,765,18,3,56.56782735207042
218,2944,82,3,32.585196068883725
219,835,15,2,77.67001700792026
220,4111,74,1,95.35419361995496
221,29,20,4,98.96114164748317
222,3502,59,2,60.37589693759358
223,4891,30,1,81.26175686084245
224,3381,39,3,92.73675165007465
225,1890,30,1,58.53430956371518
226,3776,2,3,52.92581022044348
227,772,49,4,42.65384116293975
228,4378,70,1,21.26807287832758
229,1007,42,4,26.278972313431595
230,3471,61,2,55.44269686219247
231,477,93,4,46.65164117045783
232,2833,84,2,76.0607497099541
233,1161,87,2,43.03539811635761
234,4227,6,2,97.01281045813799
235,4392,8,2,13.44711610798074
236,2416,66,3,91.79912363121878
237,2817,88,1,35.056551070664796
238,1522,6,2,88.61801638924531
239,1428,76,4,86.07163491085385
240,2635,9,3,11.149867090308437
241,1167,93,2,68.33000638978487
242,3701,53,1,75.24760436576238
243,3194,35,3,68.9647446488755
244,2930,62,2,72.74001269032648
245,3144,96,1,62.49172676588052
246,3176,32,3,90.78048534064823
247,3295,33,4,78.24835569706543
248,2299,62,2,83.97624173115187
249,3587,78,2,79.21523354282407
250,4044,70,1,84.19989375147794
251,2887,32,2,67.52910687159027
252,3552,41,3,24.99848319775768
253,306,88,4,63.60014184966356
254,3085,4,4,74.85206893283308
255,3137,5,4,48.80682543627312
256,3426,78,3,85.556900235496
257,2315,87,2,15.945660054919239
258,318,9,2,86.59935807005617
259,4484,17,3,54.06928925547127
260,3688,9,2,88.41260915684619
261,588,9,4,22.260022402624976
262,3114,81,1,86.89274442914002
263,2042,68,1,98.30953225487602
264,2719,1,3,95.80620064058523
265,1466,66,3,34.91181977438504
266,3820,32,4,71.02805893654622
267,1667,57,2,78.44310184875415
268,4360,94,2,70.86186437244055
269,3777,94,1,85.23682018413328
270,2426,15,2,88.94439170663249
271,3494,46,1,54.92346932853625
272,3381,23,2,96.47535021236776
273,920,3,2,23.28580569402626
274,3339,91,3,14.165761440209373
275,2683,49,2,95.70869528597848
276,3867,18,4,88.7471633666524
277,2651,89,2,71.06024103671993
278,2347,83,3,79.26435093371987
279,3937,71,3,22.686329498666638
280,3450,58,1,52.58283021429187
281,977,28,4,79.88853440896237
282,2763,50,2,65.07412658967914
283,4210,49,1,20.296523676577937
284,752,79,4,46.3825583444644
285,4172,67,1,72.38811085426443
286,934,73,2,17.15965222639458
287,38,1,2,12.167762491694731
288,4656,24,4,80.47063668937712
289,3270,77,2,52.917346045214
290,1138,96,2,31.880232183294048
291,4900,87,3,37.63028249775939
292,4239,34,2,50.371860629886235
293,1794,1,1,40.37881825089897
294,1548,65,3,40.01619068023521
